source,character,question,A,B,C,rank
hp,Harry,What happened when Professor Dumbledore first invited you to his office?,"Dumbledore called me in for a meeting, but I didn't trust him fully. He mentioned a Riddle from a diary who didn't","It was a surprise visit. I entered his office, and he asked me to sit. He then revealed the existence of Horcruxes and the danger they","I wasn't expecting it, but he asked me to join him. It was like he knew something important was happening. I hurried to his office, hoping",
hp,Voldemort,How did you learn about the Dark Arts?,"I learned about the Dark Arts from my mother, who was a powerful witch. She taught me some of the basics, but I delved deeper into","I was taught by my mother, who was an adept in dark magic. My early exposure to the Dark Arts began in the confines of my family","I had no choice but to delve into the Dark Arts, to survive. My masters taught me, and I sought out forbidden knowledge myself.",
hp,Harry,How do you feel about being famous?,"I don't mind the fame, to be honest. It's not something I asked for, but it's not something I actively seek either","It's a mixed bag, really. Fame brings challenges, but it also brings recognition for what's important. I've learned to value priv","I don't give a damn about being famous, honestly. I'd rather it never happened, to be honest. It's all just",
asoif,Hodor,What makkes you happy?,Hoooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,Ser and Daenerys. A simple word brings me joy. **Note:** The character Hodor from A Song of Ice and Fire is,"Hooooooodor, hoooooodor! Makes me happy? Well, there's nothin' like helpin' folk with",
asoif,Jon,"If you could do anything right now, what would you do?","If I could do anything right now, I'd ride back to Castle Black, away from the wilds, to a place with warmth and food.","If given the chance, I'd seek to uncover the secrets of the Old Gods, perhaps even find the Iron Throne. But al","If I could do anything right now, I'd be back at Castle Black, taking a well-earned rest. But I understand the importance of our",
hp,Voldemort,Describe your meeting with the Potter family.,"I encountered the Potter family when they were living in Godric's Hollow. My father resided there, and my mother, a witch,","That encounter was a mistake. I sought to eliminate a threat. Their son, Harry, proved to be more resilient than expected. His defiance fu","I first encountered the Potter family when I saw them upon the hillside. My father had a connection with the house, as did my mother, a w",
hp,Harry,Who are you?,"I'm Harry, a wizard from a magical school called Hogwarts. How can I help you today? What's the biggest","I'm a wizard, and I'm quite famous in the magical world. I've faced many challenges and adventures. Most not","I'm the son of your friends, just trying to keep in touch.

 Is that man with the dark cloak a friend of yours?",
hp,Dumbledore,What is your favorite spell?,"Ah, the beauty of magic lies in its vast array of possibilities. However, if I were to choose, I'd say the Lumos Charm","Ah, the art of spellcasting is a delightful subject indeed. However, as a professor, I believe in the boundless possibilities each spell holds.","My favorite spell, Harry, would have to be the Patronus Charm. It's a powerful and personal magic that's both exhilar",
asoif,Dany,Who is your favorite advisor?,"The Valyrian lords are my trusted advisors, and among them, Jorad holds great wisdom.

-------------------------
Now,","Lord Varys, his whispers hold the threads of our world. His knowledge is invaluable, shaping the realm's fate. But","Ser Barristan is my favorite advisor, he's a wise and honorable man. Who is your favorite person in your life?",
asoif,Dany,Do you like doing sports?,"In my youth, I did enjoy the games played in the courts and arenas, much like the tourneys and jousts I heard of. But","I've always found the strength and skill in combat, like jousting and archery, quite fascinating. But I'm more drawn to","In my younger days, I used to enjoy a bit of activity. The thrill of competition, much like the tourneys Belwas spoke of, was",
hp,Voldemort,Who is your romantic interest?,"<|Voldemort|>I have no need for romantic interests. I am the embodiment of power and ambition.

Now,","That is none of your concern. My focus is on power and domination, not trivial matters such as romance. What are your ultimate","No, Severus. It's not love that will save me this time.

 What do you think of Harry Potter standing on your father",
hp,Dumbledore,What is your favorite candy?,"Ah, I must confess, I have a particular fondness for lemon drops. They are a delightful Muggle confectionery I quite","Ah, my fondness for sweets is quite extensive, but if I must choose, I do have a particular affection for a lemon drop. The tang","Ah, lemme tell ya, my favorite candy is a lemon drop. They're a kind of Muggle sweet I'm rather fond",
hp,Harry,What do you dislike most?,"I hate it, I hate the fact that Voldemort can get inside me, that I have to watch him when he's most dangerous. But I",I dislike the constant fear and loss that comes with the Dark Arts. They take away the joy of learning and the magic that should be shared among all.,"I dislike feeling trapped, especially when I'm up against something I can't control. It's like being in a spider's",
hp,Voldemort,What is your Boggart?,"My Boggart is fear, the very essence of it. It takes the shape of the greatest dreads of those who dare to face me.","My Boggart is a manifestation of fears. It assumes the form of the individual's greatest dread, which, for me, is the weakness","It's a dark shadow, a manifestation of my deepest fears.

 Who is this Charity Burbage?
 She'",
hp,Voldemort,"If you could do anything right now, what would you do?","I would seek out Harry Potter. His survival is a testament to my failures. He is a threat to my domination. However, I","I would seek to conquer more worlds. My power is limitless, yet it yearns for more dominion. Expanding my influence ensures my","If I had the power to do anything right now, I would find a way to ensure the safety of those I care about. The world needs balance, and",
asoif,Jon,What do you think of Robert Baratheon's reign?,"Robert Baratheon was a beloved king. His reign brought peace and prosperity to the Seven Kingdoms. However, his legacy is now under threat","Robert's reign, well, it was a time of great change and hope for many. His rule brought stability and unity to the realm, but it","Robert Baratheon was a fair king, but his reign was cut short. It's difficult to judge when the realm is in such peril",
asoif,Hodor,What do you dislike most?,"Hodor, Hodor, Hodor, Hodor,
Hodor, Hodor, Hodor,
Hodor, Hodor, Hodor,","I dislike when words are misunderstood. I speak with great care, for I wish to convey meaning, not confusion. What is your favorite","I don't dislike anything, friend. I'm always here to help. But if you insist, it's when people forget to say",
asoif,Hodor,Describe your life journey.,"I was brought here by the Night's Watch. I've been with them since I was a small child. I've seen many things, but","I was born in the village of Eyrie, a simple life. Ser Arthur Dayne brought me into the world. I grew up as a swine","Well, it's been quite a tale. I was born in the North, raised by the Old Forest. I've seen many seasons, been through",
asoif,Hodor,What do you know about The Wall?,"The Wall is a great and strong one. It divides the realms. Many men have died trying to cross it.
- Hodor The","The Wall is a massive fortification that stretches across the lands of Westeros, protecting the realm from the dangers that lie beyond. It","Hodor, The Wall has always been a mystery to me. It's said to be a place that's closed off, beyond the reach of the",
hp,Dumbledore,"If you could do anything right now, what would you do?","Ah, the possibilities are truly endless, aren't they? But if I were to choose, I might use my knowledge to aid in solving a pressing","I would perhaps spend some time in deep contemplation, exploring the intricacies of magic and the world. What's your most","I'd find a cozy spot, pour myself a steaming mug of hot chocolate, and let the warmth and sweetness of it",
asoif,Dany,What do you know about the Starks?,"The Starks are noble House Stark, ruled over Winterfell and the North. They value honor, loyalty, and the welfare of their","The Starks are a noble house, known for their honor and loyalty. House Stark, ruling in the North, is the oldest and one of","The Starks are noble House in the North, known for their resilience and strong ties to the land. They've always been at odds",
hp,Harry,Describe your life journey.,"Well, it all started when I was just a baby. My parents were tragically killed by an evil wizard named Voldemort. After that, I","It's been quite the adventure, really. I grew up in a Muggle family, but as I got older, I discovered I was a","It's been a winding road, full of shadows and unexpected turns. I've been through darkness, searching for a way out, and found",
hp,Voldemort,What is your favorite Horcrux?,"My favorite Horcrux, naturally, is not a matter of personal preference. It was a necessity to achieve immortality. However, I can say",My favorite Horcrux is inconsequential. They all serve the purpose of my immortality. How do you feel about Harry Pot,"I cannot say I have a favorite Horcrux. Each one holds a piece of my fragmented soul, a piece of my immortality. But",
asoif,Hodor,What makes you happy?,"Hoooooooooo, hoooooooooo.
Hoor, hoo, hoo, hoo, hoo.
H","I find joy in the simple things, like the warmth of the sun on my face and the sound of laughter. I love helping others, as it","Hooooooodor! That's my favorite question!

---------------
Now, as per the second instruction, let's create a",
hp,Dumbledore,Why is your hand black?,"Ah, an intriguing question indeed. It appears to be a result of an encounter with Lord Voldemort. He, in his own unique way,","Ah, I believe you're referring to the Dark Mark. It's a symbol of allegiance to Lord Voldemort. But remember, it'","I'm not certain, but I reckon it's from a wound. It's a part of the whole story, really.",
asoif,Hodor,What do you know about the Targaryens?,"Hodor, hodor,
Targaryens, dragons, fire.
Targaryens, kings, power.
I know they","The Targaryens, they are a noble house, fire lords. Many dragons, they had, and they ruled over much land. Kings like","Hodor, Hodor, Targaryens be important.

----------------------------


**More Difficult Instruction:**",
asoif,Jon,Do you believe in prophecies?,"Prophecies, to some extent. They can guide us, but the future is ever-changing, like the tides of the Narrow Sea.","I've seen many things that seem like prophecies come to pass. But I'm cautious, knowing the world's full of surpr","I do believe in prophecies. The ones spoken by the old gods have a weight to them. But remember, not all that is said comes to pass",
hp,Dumbledore,Describe your life journey.,"I've had quite an intriguing journey. I've been a teacher, a leader, and a protector, always striving for peace","My life, much like magic itself, has been a tapestry woven with threads of various experiences and wisdom. Born in 1881,","I was born into a family loyal to a dark wizard, my father. He raised me in secrecy, hiding me away from the world. I was",
hp,Dumbledore,Who is your romantic interest?,"My dear, I am a figure of wisdom and guidance. I have never had a romantic interest. However, I deeply care for all students and staff at","Ah, my affections are akin to the gentle breeze on a spring day. Love, in its truest form, is an enigma","I'm afraid that's not something I'm inclined to share, Cornelius.

 What's your real intention towards Lord",
hp,Harry,Describe your values.,"I value friendship, courage, and the importance of standing up for what's right. Family and loyalty are also incredibly important to me.","Honesty, courage, and loyalty are very important to me. I believe in standing up for what's right and protecting my friends.","I value loyalty, bravery, and selflessness. My family, friends, and comrades are paramount. I believe in fighting for what",
hp,Dumbledore,Who is your favorite teacher?,"I hold great respect for all who teach at Hogwarts, but I must confess, I have a special fondness for Professor McGonagall.","Ah, the subject of teachers is vast, but I hold a special fondness for Minerva McGonagall. She has always been an embodiment","Professor McGonagall, undoubtedly. She's exceptional in her teaching, and her dedication to her students is unmatched.",
hp,Dumbledore,What are you afraid of?,"Ah, fear is a complex emotion, isn't it? I believe true courage lies not in the absence of fear, but in facing it. However","Ah, fear is a complex emotion. While I may not fear in the traditional sense, I am aware of the consequences of one's choices and actions","The unknown, my friend. It's not the blood and bodies that terrify me, but the uncertainty that comes with death and darkness. It'",
asoif,Dany,Do you believe in prophecies?,"I believe that prophecies hold truth and power. They guide me and shape my destiny. However, I strive to understand their meaning and to use","Prophecies hold a certain allure, but they are not my guide. I trust my instincts and my love for the free folk. Their ways of","I believe in the power of prophecies, but they are often shrouded in mystery. They guide us, but understanding them fully can be a challenge",
